tag,version,datatype,label
CybersecurityRiskBoardCommitteeOrSubcommitteeResponsibleForOversightTextBlock,cyd/2024,textBlock,Cybersecurity Risk Board Committee or Subcommittee Responsible for Oversight [Text Block]
CybersecurityRiskBoardCommitteeOrSubcommitteeResponsibleForOversightTextBlock,cyd/2025,textBlock,Cybersecurity Risk Board Committee or Subcommittee Responsible for Oversight [Text Block]
CybersecurityRiskBoardCommitteeOrSubcommitteeResponsibleForOversightTextBlock,cyd/2026,textBlock,Cybersecurity Risk Board Committee or Subcommittee Responsible for Oversight [Text Block]
CybersecurityRiskBoardOfDirectorsOversightTextBlock,cyd/2024,textBlock,Cybersecurity Risk Board of Directors Oversight [Text Block]
CybersecurityRiskBoardOfDirectorsOversightTextBlock,cyd/2025,textBlock,Cybersecurity Risk Board of Directors Oversight [Text Block]
CybersecurityRiskBoardOfDirectorsOversightTextBlock,cyd/2026,textBlock,Cybersecurity Risk Board of Directors Oversight [Text Block]
CybersecurityRiskManagementExpertiseOfManagementResponsibleTextBlock,cyd/2024,textBlock,Cybersecurity Risk Management Expertise of Management Responsible [Text Block]
CybersecurityRiskManagementExpertiseOfManagementResponsibleTextBlock,cyd/2025,textBlock,Cybersecurity Risk Management Expertise of Management Responsible [Text Block]
CybersecurityRiskManagementExpertiseOfManagementResponsibleTextBlock,cyd/2026,textBlock,Cybersecurity Risk Management Expertise of Management Responsible [Text Block]
CybersecurityRiskManagementPositionsOrCommitteesResponsibleFlag,cyd/2024,boolean,Cybersecurity Risk Management Positions or Committees Responsible [Flag]
CybersecurityRiskManagementPositionsOrCommitteesResponsibleFlag,cyd/2025,boolean,Cybersecurity Risk Management Positions or Committees Responsible [Flag]
CybersecurityRiskManagementPositionsOrCommitteesResponsibleFlag,cyd/2026,boolean,Cybersecurity Risk Management Positions or Committees Responsible [Flag]
CybersecurityRiskManagementPositionsOrCommitteesResponsibleReportToBoardFlag,cyd/2024,boolean,Cybersecurity Risk Management Positions or Committees Responsible Report to Board [Flag]
CybersecurityRiskManagementPositionsOrCommitteesResponsibleReportToBoardFlag,cyd/2025,boolean,Cybersecurity Risk Management Positions or Committees Responsible Report to Board [Flag]
CybersecurityRiskManagementPositionsOrCommitteesResponsibleReportToBoardFlag,cyd/2026,boolean,Cybersecurity Risk Management Positions or Committees Responsible Report to Board [Flag]
CybersecurityRiskManagementPositionsOrCommitteesResponsibleTextBlock,cyd/2024,textBlock,Cybersecurity Risk Management Positions or Committees Responsible [Text Block]
CybersecurityRiskManagementPositionsOrCommitteesResponsibleTextBlock,cyd/2025,textBlock,Cybersecurity Risk Management Positions or Committees Responsible [Text Block]
CybersecurityRiskManagementPositionsOrCommitteesResponsibleTextBlock,cyd/2026,textBlock,Cybersecurity Risk Management Positions or Committees Responsible [Text Block]
CybersecurityRiskManagementProcessesForAssessingIdentifyingAndManagingThreatsTextBlock,cyd/2024,textBlock,"Cybersecurity Risk Management Processes for Assessing, Identifying, and Managing Threats [Text Block]"
CybersecurityRiskManagementProcessesForAssessingIdentifyingAndManagingThreatsTextBlock,cyd/2025,textBlock,"Cybersecurity Risk Management Processes for Assessing, Identifying, and Managing Threats [Text Block]"
CybersecurityRiskManagementProcessesForAssessingIdentifyingAndManagingThreatsTextBlock,cyd/2026,textBlock,"Cybersecurity Risk Management Processes for Assessing, Identifying, and Managing Threats [Text Block]"
CybersecurityRiskManagementProcessesIntegratedFlag,cyd/2024,boolean,Cybersecurity Risk Management Processes Integrated [Flag]
CybersecurityRiskManagementProcessesIntegratedFlag,cyd/2025,boolean,Cybersecurity Risk Management Processes Integrated [Flag]
CybersecurityRiskManagementProcessesIntegratedFlag,cyd/2026,boolean,Cybersecurity Risk Management Processes Integrated [Flag]
CybersecurityRiskManagementProcessesIntegratedTextBlock,cyd/2024,textBlock,Cybersecurity Risk Management Processes Integrated [Text Block]
CybersecurityRiskManagementProcessesIntegratedTextBlock,cyd/2025,textBlock,Cybersecurity Risk Management Processes Integrated [Text Block]
CybersecurityRiskManagementProcessesIntegratedTextBlock,cyd/2026,textBlock,Cybersecurity Risk Management Processes Integrated [Text Block]
CybersecurityRiskManagementStrategyAndGovernanceLineItems,cyd/2024,,"Cybersecurity Risk Management, Strategy, and Governance [Line Items]"
CybersecurityRiskManagementStrategyAndGovernanceLineItems,cyd/2025,,"Cybersecurity Risk Management, Strategy, and Governance [Line Items]"
CybersecurityRiskManagementStrategyAndGovernanceLineItems,cyd/2026,,"Cybersecurity Risk Management, Strategy, and Governance [Line Items]"
CybersecurityRiskManagementStrategyAndGovernanceTable,cyd/2024,,"Cybersecurity Risk Management, Strategy, and Governance [Table]"
CybersecurityRiskManagementStrategyAndGovernanceTable,cyd/2025,,"Cybersecurity Risk Management, Strategy, and Governance [Table]"
CybersecurityRiskManagementStrategyAndGovernanceTable,cyd/2026,,"Cybersecurity Risk Management, Strategy, and Governance [Table]"
CybersecurityRiskManagementThirdPartyEngagedFlag,cyd/2024,boolean,Cybersecurity Risk Management Third Party Engaged [Flag]
CybersecurityRiskManagementThirdPartyEngagedFlag,cyd/2025,boolean,Cybersecurity Risk Management Third Party Engaged [Flag]
CybersecurityRiskManagementThirdPartyEngagedFlag,cyd/2026,boolean,Cybersecurity Risk Management Third Party Engaged [Flag]
CybersecurityRiskMateriallyAffectedOrReasonablyLikelyToMateriallyAffectRegistrantFlag,cyd/2024,boolean,Cybersecurity Risk Materially Affected or Reasonably Likely to Materially Affect Registrant [Flag]
CybersecurityRiskMateriallyAffectedOrReasonablyLikelyToMateriallyAffectRegistrantFlag,cyd/2025,boolean,Cybersecurity Risk Materially Affected or Reasonably Likely to Materially Affect Registrant [Flag]
CybersecurityRiskMateriallyAffectedOrReasonablyLikelyToMateriallyAffectRegistrantFlag,cyd/2026,boolean,Cybersecurity Risk Materially Affected or Reasonably Likely to Materially Affect Registrant [Flag]
CybersecurityRiskMateriallyAffectedOrReasonablyLikelyToMateriallyAffectRegistrantTextBlock,cyd/2024,textBlock,Cybersecurity Risk Materially Affected or Reasonably Likely to Materially Affect Registrant [Text Block]
CybersecurityRiskMateriallyAffectedOrReasonablyLikelyToMateriallyAffectRegistrantTextBlock,cyd/2025,textBlock,Cybersecurity Risk Materially Affected or Reasonably Likely to Materially Affect Registrant [Text Block]
CybersecurityRiskMateriallyAffectedOrReasonablyLikelyToMateriallyAffectRegistrantTextBlock,cyd/2026,textBlock,Cybersecurity Risk Materially Affected or Reasonably Likely to Materially Affect Registrant [Text Block]
CybersecurityRiskProcessForInformingBoardCommitteeOrSubcommitteeResponsibleForOversightTextBlock,cyd/2024,textBlock,Cybersecurity Risk Process for Informing Board Committee or Subcommittee Responsible for Oversight [Text Block]
CybersecurityRiskProcessForInformingBoardCommitteeOrSubcommitteeResponsibleForOversightTextBlock,cyd/2025,textBlock,Cybersecurity Risk Process for Informing Board Committee or Subcommittee Responsible for Oversight [Text Block]
CybersecurityRiskProcessForInformingBoardCommitteeOrSubcommitteeResponsibleForOversightTextBlock,cyd/2026,textBlock,Cybersecurity Risk Process for Informing Board Committee or Subcommittee Responsible for Oversight [Text Block]
CybersecurityRiskProcessForInformingManagementOrCommitteesResponsibleTextBlock,cyd/2024,textBlock,Cybersecurity Risk Process for Informing Management or Committees Responsible [Text Block]
CybersecurityRiskProcessForInformingManagementOrCommitteesResponsibleTextBlock,cyd/2025,textBlock,Cybersecurity Risk Process for Informing Management or Committees Responsible [Text Block]
CybersecurityRiskProcessForInformingManagementOrCommitteesResponsibleTextBlock,cyd/2026,textBlock,Cybersecurity Risk Process for Informing Management or Committees Responsible [Text Block]
CybersecurityRiskRoleOfManagementTextBlock,cyd/2024,textBlock,Cybersecurity Risk Role of Management [Text Block]
CybersecurityRiskRoleOfManagementTextBlock,cyd/2025,textBlock,Cybersecurity Risk Role of Management [Text Block]
CybersecurityRiskRoleOfManagementTextBlock,cyd/2026,textBlock,Cybersecurity Risk Role of Management [Text Block]
CybersecurityRiskThirdPartyOversightAndIdentificationProcessesFlag,cyd/2024,boolean,Cybersecurity Risk Third Party Oversight and Identification Processes [Flag]
CybersecurityRiskThirdPartyOversightAndIdentificationProcessesFlag,cyd/2025,boolean,Cybersecurity Risk Third Party Oversight and Identification Processes [Flag]
CybersecurityRiskThirdPartyOversightAndIdentificationProcessesFlag,cyd/2026,boolean,Cybersecurity Risk Third Party Oversight and Identification Processes [Flag]
MaterialCybersecurityIncidentAxis,cyd/2024,axis,Material Cybersecurity Incident [Axis]
MaterialCybersecurityIncidentAxis,cyd/2025,axis,Material Cybersecurity Incident [Axis]
MaterialCybersecurityIncidentDomain,cyd/2024,member,Material Cybersecurity Incident [Domain]
MaterialCybersecurityIncidentDomain,cyd/2025,member,Material Cybersecurity Incident [Domain]
MaterialCybersecurityIncidentInformationNotAvailableOrUndeterminedTextBlock,cyd/2024,textBlock,Material Cybersecurity Incident Information Not Available or Undetermined [Text Block]
MaterialCybersecurityIncidentInformationNotAvailableOrUndeterminedTextBlock,cyd/2025,textBlock,Material Cybersecurity Incident Information Not Available or Undetermined [Text Block]
MaterialCybersecurityIncidentInformationNotAvailableOrUndeterminedTextBlock,cyd/2026,textBlock,Material Cybersecurity Incident Information Not Available or Undetermined [Text Block]
MaterialCybersecurityIncidentLineItems,cyd/2024,,Material Cybersecurity Incident [Line Items]
MaterialCybersecurityIncidentLineItems,cyd/2025,,Material Cybersecurity Incident [Line Items]
MaterialCybersecurityIncidentMaterialImpactOrReasonablyLikelyMaterialImpactTextBlock,cyd/2024,textBlock,Material Cybersecurity Incident Material Impact or Reasonably Likely Material Impact [Text Block]
