adsh,cik,company_name,sic,form,is_amendment,fy,fp,period,filed_date,country_inc,country_ba,pubfloatusd,filing_url
0001213900-24-091726,1815021,BOQII HOLDING LTD,5990,20-F,0,2024,FY,20240331,20241029,KY,CN,,https://www.sec.gov/Archives/edgar/data/1815021/000121390024091726/0001213900-24-091726-index.htm
0000950170-24-129020,924717,SURMODICS INC,3841,10-K,0,2024,FY,20240930,20241120,US,US,401000000,https://www.sec.gov/Archives/edgar/data/924717/000095017024129020/0000950170-24-129020-index.htm
0001628280-24-049947,720154,"INOTIV, INC.",8731,10-K,0,2024,FY,20240930,20241204,US,US,252228899,https://www.sec.gov/Archives/edgar/data/720154/000162828024049947/0001628280-24-049947-index.htm
0000939057-24-000331,1046050,TIMBERLAND BANCORP INC,6036,10-K,0,2024,FY,20240930,20241211,US,US,215980000,https://www.sec.gov/Archives/edgar/data/1046050/000093905724000331/0000939057-24-000331-index.htm
0001140361-24-049014,788329,JOHNSON OUTDOORS INC,3949,10-K,0,2024,FY,20240930,20241211,US,US,250000000,https://www.sec.gov/Archives/edgar/data/788329/000114036124049014/0001140361-24-049014-index.htm
0001601046-24-000159,1601046,"KEYSIGHT TECHNOLOGIES, INC.",3823,10-K,0,2024,FY,20241031,20241217,US,US,20000000000,https://www.sec.gov/Archives/edgar/data/1601046/000160104624000159/0001601046-24-000159-index.htm
0000883241-24-000024,883241,SYNOPSYS INC,7372,10-K,0,2024,FY,20241031,20241219,US,US,67500000000,https://www.sec.gov/Archives/edgar/data/883241/000088324124000024/0000883241-24-000024-index.htm
0000950170-24-138472,1980845,ENGENE HOLDINGS INC.,2836,10-K,0,2024,FY,20241031,20241219,CA,CA,533605876,https://www.sec.gov/Archives/edgar/data/1980845/000095017024138472/0000950170-24-138472-index.htm
0001628280-24-052099,1045742,LIVE VENTURES INC,5900,10-K,0,2024,FY,20240930,20241219,US,US,31500000,https://www.sec.gov/Archives/edgar/data/1045742/000162828024052099/0001628280-24-052099-index.htm
0001802974-24-000053,1802974,"MISSION PRODUCE, INC.",0700,10-K,0,2024,FY,20241031,20241219,US,US,512000000,https://www.sec.gov/Archives/edgar/data/1802974/000180297424000053/0001802974-24-000053-index.htm
0001872371-24-000014,1872371,OAKTREE STRATEGIC CREDIT FUND,,10-K,0,2024,FY,20240930,20241219,,US,0,https://www.sec.gov/Archives/edgar/data/1872371/000187237124000014/0001872371-24-000014-index.htm
0001974793-24-000018,1974793,"OAKTREE GARDENS OLP, LLC",,10-K,0,2024,FY,20240930,20241219,US,US,0,https://www.sec.gov/Archives/edgar/data/1974793/000197479324000018/0001974793-24-000018-index.htm
0001213900-24-112074,2000410,EUREKA ACQUISITION CORP,6770,10-K,0,2024,FY,20240930,20241226,KY,HK,0,https://www.sec.gov/Archives/edgar/data/2000410/000121390024112074/0001213900-24-112074-index.htm
0001213900-24-113149,1506251,"CITIUS PHARMACEUTICALS, INC.",2834,10-K,0,2024,FY,20240930,20241227,US,US,131670000000000,https://www.sec.gov/Archives/edgar/data/1506251/000121390024113149/0001213900-24-113149-index.htm
0001213900-24-113150,1851484,"CITIUS ONCOLOGY, INC.",2834,10-K,0,2024,FY,20240930,20241227,KY,US,47700000,https://www.sec.gov/Archives/edgar/data/1851484/000121390024113150/0001213900-24-113150-index.htm
0001493152-24-052394,1847806,GENIUS GROUP LTD,7372,6-K,0,2024,,20241231,20241230,SG,SG,,https://www.sec.gov/Archives/edgar/data/1847806/000149315224052394/0001493152-24-052394-index.htm
0001213900-25-000430,1913749,GLOBAL MOFY AI LTD,7370,20-F,0,2024,FY,20240930,20250102,KY,CN,,https://www.sec.gov/Archives/edgar/data/1913749/000121390025000430/0001213900-25-000430-index.htm
0001213900-25-001262,1639327,ZHUOXUN HONGTU INC.,7363,10-K,0,2024,FY,20240930,20250107,US,CN,0,https://www.sec.gov/Archives/edgar/data/1639327/000121390025001262/0001213900-25-001262-index.htm
0000796343-25-000004,796343,ADOBE INC.,7372,10-K,0,2024,FY,20241130,20250113,US,US,164650000000,https://www.sec.gov/Archives/edgar/data/796343/000079634325000004/0000796343-25-000004-index.htm
0001213900-25-004698,1806904,EZGO TECHNOLOGIES LTD.,3751,20-F,0,2024,FY,20240930,20250117,VG,CN,,https://www.sec.gov/Archives/edgar/data/1806904/000121390025004698/0001213900-25-004698-index.htm
0000876167-25-000010,876167,PROGRESS SOFTWARE CORP /MA,7372,10-K,0,2024,FY,20241130,20250121,US,US,2148000000,https://www.sec.gov/Archives/edgar/data/876167/000087616725000010/0000876167-25-000010-index.htm
0000950170-25-007638,87347,SCHLUMBERGER LIMITED/NV,1389,10-K,0,2024,FY,20241231,20250122,AN,US,66860000000,https://www.sec.gov/Archives/edgar/data/87347/000095017025007638/0000950170-25-007638-index.htm
0001213900-25-005490,1892500,CLEARMIND MEDICINE INC.,2834,20-F,0,2024,FY,20241031,20250122,CA,CA,,https://www.sec.gov/Archives/edgar/data/1892500/000121390025005490/0001213900-25-005490-index.htm
0001213900-25-005499,1769256,XCHANGE TEC.INC,6411,20-F,0,2024,FY,20240930,20250122,,CN,,https://www.sec.gov/Archives/edgar/data/1769256/000121390025005499/0001213900-25-005499-index.htm
0001628280-25-002404,920760,LENNAR CORP /NEW/,1520,10-K,0,2024,FY,20241130,20250123,US,US,39677379445,https://www.sec.gov/Archives/edgar/data/920760/000162828025002404/0001628280-25-002404-index.htm
0000795266-25-000014,795266,KB HOME,1531,10-K,0,2024,FY,20241130,20250124,US,US,5782776530,https://www.sec.gov/Archives/edgar/data/795266/000079526625000014/0000795266-25-000014-index.htm
0001177394-25-000009,1177394,TD SYNNEX CORP,5045,10-K,0,2024,FY,20241130,20250124,US,US,10978333656,https://www.sec.gov/Archives/edgar/data/1177394/000117739425000009/0001177394-25-000009-index.htm
0001213900-25-006519,1837821,JIN MEDICAL INTERNATIONAL LTD.,3842,20-F,0,2024,FY,20240930,20250124,KY,CN,,https://www.sec.gov/Archives/edgar/data/1837821/000121390025006519/0001213900-25-006519-index.htm
0000815097-25-000007,815097,CARNIVAL CORP,4400,10-K,0,2024,FY,20241130,20250127,PA,US,2600000000,https://www.sec.gov/Archives/edgar/data/815097/000081509725000007/0000815097-25-000007-index.htm
